curriculum_scale,value
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
0.0,9.999999747378752e-05
